url,Artist,Song,Entry,Week entered,Year entered,Week exited,Year exited,Peak,Peak weeks,Weeks,Current
https://acharts.co/song/249,Nickelback,Someday,10,37,03,07,03,4,1,23,-
https://acharts.co/song/247,Maroon 5,Harder To Breathe,43,41,03,52,03,37,2,11,-
https://acharts.co/song/245,"Baby Bash,Frankie J.",Suga Suga,19,10,04,26,04,3,3,17,-
https://acharts.co/song/238,"Beyoncé,Sean Paul",Baby Boy,4,42,03,07,03,3,2,18,-
https://acharts.co/song/237,Hilary Duff,So Yesterday,39,38,03,05,03,8,1,20,-
https://acharts.co/song/229,Korn,Did My Time,29,36,03,40,03,29,1,5,-
https://acharts.co/song/224,"Christina Aguilera,Lil' Kim",Can't Hold Us Down,5,39,03,47,03,5,1,9,-
https://acharts.co/song/223,Justin Timberlake,Senorita,7,37,03,47,03,6,1,11,-
https://acharts.co/song/221,Good Charlotte,Girls And Boys,33,29,03,38,03,33,3,10,-
https://acharts.co/song/220,Linkin Park,Faint,25,27,03,34,03,25,1,8,-
https://acharts.co/song/218,The Ataris,The Boys Of Summer,24,40,03,47,03,24,1,8,-
https://acharts.co/song/214,R. Kelly,Thoia Thoing,19,43,03,03,03,16,1,13,-
https://acharts.co/song/211,"Bow Wow,Baby",Let's Get Down,50,44,03,44,03,50,1,1,-
https://acharts.co/song/207,Mya,My Love Is Like... Wo,25,36,03,47,03,25,3,12,-
https://acharts.co/song/208,"Mary J. Blige,Method Man",Love @ 1st Sight,32,39,03,41,03,32,1,3,-
https://acharts.co/song/204,Simple Plan,Addicted,22,35,04,42,04,10,1,8,-
https://acharts.co/song/202,"P!nk,William Orbit",Feel Good Time,7,30,03,40,03,7,1,11,-
https://acharts.co/song/201,"Nelly,Diddy,Murphy Lee",Shake Ya Tailfeather,9,34,03,04,03,3,2,23,-
https://acharts.co/song/194,"Pharrell Williams,Jay-Z",Frontin',41,33,03,41,03,28,1,9,-
https://acharts.co/song/190,"Thalia,Fat Joe",I Want You,25,34,03,42,03,25,1,9,-
https://acharts.co/song/189,The Black Eyed Peas,Where Is The Love?,2,32,03,41,03,1,6,30,-
https://acharts.co/song/188,"Fabolous,Tamia,Ashanti",Into You,29,38,03,03,03,4,1,18,-
https://acharts.co/song/185,Sean Paul,Like Glue,23,41,03,03,03,20,1,15,-
https://acharts.co/song/184,Ludacris,Act A Fool,39,28,03,30,03,39,1,3,-
https://acharts.co/song/183,Michelle Branch,Are You Happy Now,41,26,03,37,03,33,1,9,-
https://acharts.co/song/180,50 Cent,P.I.M.P.,10,41,03,05,03,2,1,17,-
https://acharts.co/song/178,Lumidee,"Never Leave You (uh Oooh, Uh Oooh)",33,36,03,41,03,33,1,6,-
https://acharts.co/song/176,Shania Twain,Forever And For Always,45,29,03,30,03,45,1,2,-
https://acharts.co/song/175,Train,Calling All Angels,30,23,03,36,03,22,1,13,-
https://acharts.co/song/173,"Beyoncé,Jay-Z",Crazy In Love,2,29,03,42,03,2,3,14,-
https://acharts.co/song/171,Chingy,Right Thurr,28,35,03,04,03,6,2,22,-
https://acharts.co/song/169,Stacie Orrico,Stuck,28,14,03,32,03,3,1,19,-
https://acharts.co/song/168,Kelly Clarkson,Miss Independent,17,33,03,46,03,3,1,14,-
https://acharts.co/song/165,Jewel,Intuition,7,23,03,38,03,4,2,16,-
https://acharts.co/song/164,Ashanti,Rock Wit U (awww Baby),19,28,03,36,03,19,1,9,-
https://acharts.co/song/163,"Lil Jon,The East Side Boyz,Busta Rhymes,Elephant Man,Ying Yang Twins",Get Low,27,22,04,32,04,23,1,11,-
https://acharts.co/song/157,Jennifer Lopez,I'm Glad,10,27,03,31,03,10,1,5,-
https://acharts.co/song/150,Avril Lavigne,Losing Grip,20,20,03,28,03,20,1,9,-
https://acharts.co/song/140,"Panjabi Mc,Jay-Z",Beware Of The Boys (mundian To Bach Ke),13,25,03,37,03,12,1,13,-
https://acharts.co/song/136,Christina Aguilera,Fighter,5,25,03,37,03,5,1,13,-
https://acharts.co/song/134,Madonna,American Life,7,17,03,24,03,7,1,8,-
https://acharts.co/song/128,Daniel Bedingfield,If You're Not The One,17,10,03,25,03,17,1,15,-
https://acharts.co/song/127,Eminem,Sing For The Moment,5,11,03,24,03,5,1,14,-
https://acharts.co/song/120,"Counting Crows,Vanessa Carlton",Big Yellow Taxi,4,10,03,22,03,3,1,13,-
https://acharts.co/song/117,Good Charlotte,The Anthem,14,11,03,28,03,14,2,18,-
https://acharts.co/song/114,Boomkat,The Wreckoning,18,17,03,27,03,16,1,11,-
https://acharts.co/song/111,"50 Cent,Nate Dogg",21 Questions,4,28,03,41,03,4,1,14,-
https://acharts.co/song/109,Justin Timberlake,Rock Your Body,1,20,03,30,03,1,1,11,-
https://acharts.co/song/108,Matchbox Twenty,Unwell,40,21,03,38,03,12,1,18,-
https://acharts.co/song/103,"Evanescence,Paul McCoy",Bring Me To Life,12,18,03,44,03,1,6,27,-
https://acharts.co/song/101,Linkin Park,Somewhere I Belong,16,13,03,25,03,13,1,13,-
https://acharts.co/song/99,"Blu Cantrell,Sean Paul",Breathe,29,31,03,50,03,8,1,20,-
https://acharts.co/song/98,Kelly Rowland,Can't Nobody,32,17,03,28,03,13,1,12,-
https://acharts.co/song/82,B2k,Girlfriend,39,29,03,30,03,39,1,2,-
https://acharts.co/song/79,"Ll Cool J,Amerie",Paradise,43,11,03,22,03,28,1,10,-
https://acharts.co/song/75,The Foo Fighters,Times Like These,37,10,03,11,03,37,1,2,-
https://acharts.co/song/73,"Fabolous,Mike Shorey,Lil' Mo",Can't Let You Go,27,10,04,15,04,27,1,6,-
https://acharts.co/song/70,Audioslave,Like A Stone,46,16,03,24,03,35,1,7,-
https://acharts.co/song/62,P!nk,Family Portrait,21,10,03,13,03,21,1,4,-
https://acharts.co/song/63,Shania Twain,Up!,29,12,03,17,03,29,1,6,-
https://acharts.co/song/57,"Busta Rhymes,Mariah Carey,The Flipmode Squad",I Know What You Want,3,25,03,36,03,3,4,12,-
https://acharts.co/song/54,Coldplay,Clocks,28,13,03,25,03,28,1,11,-
https://acharts.co/song/51,Celine Dion,I Drove All Night,22,11,03,20,03,22,1,10,-
https://acharts.co/song/47,2pac,Thugz Mansion,26,12,03,16,03,26,1,5,-
https://acharts.co/song/46,Sean Paul,Get Busy,25,25,03,39,03,4,2,15,-
https://acharts.co/song/43,Eminem,Lose Yourself,3,10,03,09,03,3,1,7,-
https://acharts.co/song/39,Nas,I Can,48,18,03,23,03,43,1,5,-
https://acharts.co/song/36,Norah Jones,Don't Know Why,5,10,03,20,03,5,1,10,-
https://acharts.co/song/34,Puddle Of Mudd,She Hates Me,9,10,03,22,03,9,1,13,-
https://acharts.co/song/32,"Snoop Dogg,Pharrell Williams,Charlie Wilson",Beautiful,21,15,03,34,03,4,1,19,-
https://acharts.co/song/31,Amanda Perez,Angel,11,30,03,01,03,2,4,22,-
https://acharts.co/song/24,John Mayer,Your Body Is A Wonderland,23,10,03,24,03,23,1,15,-
https://acharts.co/song/22,T.a.t.u.,All The Things She Said,1,12,03,22,03,1,2,11,-
https://acharts.co/song/21,"Jay-Z,Beyoncé",'03 Bonnie & Clyde,6,10,03,19,03,6,1,10,-
https://acharts.co/song/20,"Santana,Michelle Branch",The Game Of Love,47,10,03,11,03,47,1,2,-
https://acharts.co/song/18,Jay-Z,Excuse Me Miss,38,27,03,27,03,38,1,1,-
https://acharts.co/song/17,"Nivea,Brian,Brandon Casey",Don't Mess With My Man,31,10,03,15,03,28,1,6,-
https://acharts.co/song/12,R. Kelly,Ignition (remix),1,29,03,42,03,1,6,14,-
https://acharts.co/song/10,Christina Aguilera,Beautiful,1,10,03,20,03,1,1,11,-
https://acharts.co/song/8,"Missy Elliott,Ludacris",Gossip Folks,25,14,03,25,03,22,1,12,-
https://acharts.co/song/7,Dixie Chicks,Landslide,19,14,03,34,03,6,1,21,-
https://acharts.co/song/6,"B2k,Diddy","Bump, Bump, Bump",6,13,03,29,03,4,1,17,-
https://acharts.co/song/5,Justin Timberlake,Cry Me A River,2,10,03,21,03,2,1,12,-
https://acharts.co/song/3,"Ja Rule,Ashanti",Mesmerize,7,12,03,27,03,5,1,16,-
https://acharts.co/song/2,"Jennifer Lopez,Ll Cool J",All I Have,3,12,03,28,03,2,1,17,-
https://acharts.co/song/1,50 Cent,In Da Club,4,13,03,30,03,1,5,18,-
https://acharts.co/song/157748,Shawn Mendes,Wonder,13,42,20,03,20,13,1,12,-
https://acharts.co/song/157757,"21 Savage,Metro Boomin,Drake",Mr Right Now,39,42,20,43,20,39,1,2,-
